Ax	Ay	Az	p	q	r	mx	my	mz	
1.03	0.78	-9.79	0.18	-0.02	0.64	0.57	6.43	18.39	
1.04	0.72	-9.81	0.18	-0.01	0.57	0.57	6.43	18.39	
1.05	0.68	-9.83	0.17	-0.00	0.52	0.57	6.43	18.39	
1.05	0.65	-9.84	0.17	0.00	0.49	0.57	6.43	18.39	
1.04	0.65	-9.81	0.13	0.01	0.42	0.57	6.43	18.39	
1.03	0.65	-9.80	0.11	0.02	0.37	0.57	6.43	18.39	
1.03	0.64	-9.78	0.10	0.02	0.34	0.57	6.43	18.39	
1.07	0.68	-9.84	0.08	0.02	0.25	0.08	6.26	19.26	
1.09	0.70	-9.87	0.06	0.02	0.19	-0.25	6.14	19.82	
1.11	0.72	-9.90	0.05	0.02	0.15	-0.46	6.07	20.18	
1.12	0.73	-9.91	0.04	0.02	0.13	-0.60	6.02	20.42	
1.06	0.73	-9.95	0.02	-0.01	0.03	-0.68	5.99	20.57	
1.02	0.74	-9.97	0.01	-0.03	-0.04	-0.74	5.97	20.68	
0.99	0.74	-9.99	-0.00	-0.04	-0.08	-0.78	5.95	20.74	
0.97	0.74	-10.00	-0.01	-0.05	-0.11	-0.80	5.95	20.78	
0.89	0.66	-9.97	-0.03	-0.05	-0.19	-0.82	5.94	20.81	
0.83	0.61	-9.95	-0.04	-0.06	-0.25	-0.83	5.94	20.83	
0.80	0.57	-9.93	-0.05	-0.06	-0.28	-0.84	5.93	20.84	
0.73	0.54	-9.84	-0.04	-0.02	-0.22	-0.84	5.93	20.85	
0.69	0.51	-9.78	-0.03	0.01	-0.18	-0.84	5.93	20.85	
0.66	0.50	-9.74	-0.03	0.03	-0.16	-0.85	5.93	20.86	
0.64	0.49	-9.71	-0.03	0.04	-0.14	-0.85	5.93	20.86	
0.73	0.53	-9.58	-0.01	0.11	0.01	-0.85	5.93	20.86	
0.79	0.56	-9.49	0.00	0.15	0.10	-0.85	5.93	20.86	
0.83	0.58	-9.43	0.01	0.18	0.17	-0.85	5.93	20.86	
0.85	0.59	-9.40	0.01	0.20	0.21	-0.85	5.93	20.86	
1.03	0.73	-9.30	0.05	0.26	0.43	-0.85	5.93	20.86	
1.15	0.81	-9.24	0.07	0.30	0.58	-0.85	5.93	20.86	
1.23	0.87	-9.20	0.09	0.33	0.68	-0.85	5.93	20.86	
1.15	0.84	-9.19	0.14	0.33	0.83	-0.85	5.93	20.86	
1.10	0.82	-9.18	0.17	0.33	0.92	-0.85	5.93	20.86	
1.06	0.81	-9.18	0.19	0.34	0.98	-0.85	5.93	20.86	
1.04	0.81	-9.17	0.21	0.34	1.02	-0.85	5.93	20.86	
1.33	0.93	-9.31	0.21	0.35	0.95	-0.23	6.19	19.13	
1.52	1.00	-9.40	0.20	0.36	0.90	0.18	6.37	18.01	
1.64	1.05	-9.46	0.20	0.37	0.86	0.44	6.48	17.28	
1.72	1.09	-9.50	0.20	0.37	0.84	0.61	6.55	16.81	
1.82	1.04	-9.65	0.18	0.29	0.65	0.72	6.60	16.50	
1.87	1.01	-9.76	0.17	0.25	0.53	0.79	6.63	16.30	
1.91	0.99	-9.82	0.16	0.21	0.45	0.84	6.65	16.17	
1.84	0.93	-9.86	0.15	0.08	0.25	0.87	6.66	16.08	
1.79	0.89	-9.89	0.14	-0.01	0.13	0.89	6.67	16.03	
1.76	0.87	-9.90	0.13	-0.07	0.04	0.90	6.68	15.99	
1.74	0.85	-9.91	0.13	-0.11	-0.01	0.91	6.68	15.97	
1.61	0.72	-9.98	0.14	-0.21	-0.12	0.92	6.68	15.95	
1.52	0.64	-10.03	0.14	-0.28	-0.20	0.92	6.69	15.94	
1.47	0.58	-10.06	0.15	-0.32	-0.25	0.92	6.69	15.94	
1.43	0.55	-10.08	0.15	-0.35	-0.28	0.93	6.69	15.93	
1.31	0.57	-10.09	0.16	-0.41	-0.35	0.93	6.69	15.93	
1.22	0.59	-10.09	0.16	-0.44	-0.40	0.93	6.69	15.93	
1.17	0.60	-10.10	0.16	-0.47	-0.44	0.93	6.69	15.93	
0.97	0.47	-9.98	0.18	-0.46	-0.62	0.93	6.69	15.93	
0.83	0.38	-9.90	0.19	-0.45	-0.73	0.93	6.69	15.93	
0.75	0.32	-9.86	0.19	-0.45	-0.81	0.93	6.69	15.93	
0.69	0.29	-9.82	0.20	-0.44	-0.86	0.93	6.69	15.93	
0.73	0.25	-9.82	0.19	-0.34	-0.95	1.43	6.60	15.93	
0.76	0.23	-9.82	0.18	-0.28	-1.01	1.75	6.54	15.93	
0.78	0.22	-9.82	0.17	-0.24	-1.05	1.96	6.50	15.93	
0.93	0.26	-9.79	0.21	-0.17	-1.08	2.10	6.48	15.93	
1.03	0.30	-9.76	0.23	-0.13	-1.09	2.19	6.46	15.93	
1.09	0.32	-9.74	0.24	-0.10	-1.10	2.24	6.45	15.93	
1.13	0.33	-9.73	0.25	-0.08	-1.11	2.28	6.45	15.93	
1.03	0.02	-9.87	0.33	-0.04	-1.02	2.31	6.44	15.93	
0.96	-0.18	-9.96	0.39	-0.02	-0.96	2.32	6.44	15.93	
0.91	-0.32	-10.02	0.42	-0.00	-0.92	2.33	6.44	15.93	
0.88	-0.40	-10.06	0.44	0.01	-0.90	2.34	6.44	15.93	
0.89	-0.37	-9.88	0.44	0.09	-0.67	2.34	6.44	15.93	
0.90	-0.35	-9.76	0.44	0.14	-0.53	2.35	6.44	15.93	
0.91	-0.34	-9.68	0.44	0.17	-0.43	2.35	6.44	15.93	
0.85	-0.26	-9.57	0.39	0.16	-0.17	2.35	6.44	15.93	
0.81	-0.21	-9.50	0.36	0.16	0.00	2.35	6.44	15.93	
0.78	-0.17	-9.46	0.35	0.15	0.11	2.35	6.44	15.93	
0.76	-0.15	-9.43	0.33	0.15	0.19	2.35	6.44	15.93	
0.88	-0.12	-9.48	0.31	0.21	0.27	2.35	6.44	15.93	
0.96	-0.09	-9.51	0.29	0.24	0.32	2.35	6.44	15.93	
1.01	-0.07	-9.53	0.28	0.27	0.35	2.35	6.44	15.93	
1.04	-0.06	-9.55	0.27	0.28	0.38	2.35	6.44	15.93	
0.91	-0.13	-9.66	0.25	0.33	0.42	1.54	7.10	15.82	
0.83	-0.17	-9.74	0.23	0.37	0.44	1.02	7.53	15.75	
0.78	-0.20	-9.78	0.22	0.39	0.46	0.67	7.81	15.70	
1.09	-0.03	-9.81	0.14	0.50	0.48	0.45	7.99	15.67	
1.29	0.08	-9.83	0.09	0.57	0.50	0.31	8.11	15.65	
1.42	0.15	-9.84	0.06	0.62	0.51	0.21	8.19	15.64	
1.50	0.20	-9.85	0.04	0.65	0.52	0.15	8.24	15.63	
1.47	0.18	-9.87	0.01	0.62	0.44	0.11	8.27	15.63	
1.45	0.16	-9.89	-0.00	0.61	0.39	0.09	8.29	15.62	
1.44	0.16	-9.89	-0.01	0.60	0.36	0.07	8.31	15.62	
1.43	0.15	-9.90	-0.02	0.59	0.34	0.06	8.32	15.62	
1.49	0.20	-9.82	-0.06	0.57	0.25	0.05	8.32	15.62	
1.53	0.23	-9.77	-0.08	0.56	0.19	0.05	8.32	15.62	
1.56	0.25	-9.73	-0.10	0.55	0.15	0.05	8.33	15.62	
1.67	0.29	-9.74	-0.11	0.50	0.07	0.04	8.33	15.62	
1.74	0.32	-9.74	-0.11	0.47	0.01	0.04	8.33	15.62	
1.79	0.33	-9.74	-0.11	0.45	-0.02	0.04	8.33	15.62	
1.82	0.34	-9.74	-0.12	0.44	-0.04	0.04	8.33	15.62	
1.81	0.26	-9.79	-0.10	0.38	-0.10	0.04	8.33	15.62	
1.81	0.20	-9.82	-0.09	0.33	-0.13	0.04	8.33	15.62	
1.80	0.16	-9.84	-0.08	0.31	-0.16	0.04	8.33	15.62	
1.80	0.14	-9.86	-0.08	0.29	-0.17	0.04	8.33	15.62	
1.76	0.05	-9.85	-0.08	0.26	-0.19	-0.27	7.76	14.65	
1.73	-0.01	-9.85	-0.08	0.23	-0.20	-0.47	7.38	14.01	
1.71	-0.04	-9.84	-0.09	0.22	-0.21	-0.60	7.14	13.60	
1.62	-0.00	-9.87	-0.11	0.17	-0.16	-0.69	6.98	13.34	
1.55	0.03	-9.89	-0.12	0.14	-0.13	-0.75	6.88	13.16	
1.51	0.04	-9.90	-0.13	0.12	-0.11	-0.78	6.81	13.05	
1.48	0.05	-9.90	-0.13	0.10	-0.10	-0.81	6.77	12.98	
1.49	0.08	-9.73	-0.13	0.08	-0.02	-0.82	6.74	12.93	
1.49	0.09	-9.63	-0.13	0.07	0.04	-0.83	6.72	12.90	
1.49	0.10	-9.55	-0.13	0.06	0.07	-0.84	6.71	12.88	
1.49	0.11	-9.51	-0.12	0.05	0.10	-0.84	6.70	12.87	
1.83	0.11	-9.57	-0.11	0.06	0.13	-0.84	6.70	12.86	
2.05	0.11	-9.60	-0.11	0.07	0.16	-0.85	6.69	12.85	
2.19	0.11	-9.63	-0.10	0.07	0.17	-0.85	6.69	12.85	
2.07	0.07	-9.69	-0.10	-0.00	0.16	-0.85	6.69	12.85	
1.99	0.04	-9.73	-0.09	-0.05	0.15	-0.85	6.69	12.84	
1.94	0.02	-9.76	-0.09	-0.09	0.15	-0.85	6.69	12.84	
1.91	0.01	-9.77	-0.09	-0.11	0.14	-0.85	6.69	12.84	
1.65	0.09	-9.67	-0.10	-0.09	0.09	-0.85	6.69	12.84	
1.49	0.15	-9.60	-0.11	-0.08	0.05	-0.85	6.69	12.84	
1.39	0.18	-9.56	-0.12	-0.08	0.03	-0.85	6.69	12.84	
1.32	0.20	-9.53	-0.12	-0.07	0.02	-0.85	6.69	12.84	
1.63	0.22	-9.59	-0.11	-0.02	0.06	-0.85	6.69	12.84	
1.83	0.22	-9.62	-0.10	0.02	0.09	-0.85	6.69	12.84	
1.97	0.23	-9.65	-0.09	0.04	0.12	-0.85	6.69	12.84	
2.02	0.35	-9.68	-0.08	0.00	0.05	-1.16	6.91	13.81	
2.05	0.43	-9.70	-0.07	-0.02	0.01	-1.36	7.05	14.44	
2.07	0.48	-9.71	-0.06	-0.03	-0.02	-1.49	7.15	14.85	
2.09	0.52	-9.72	-0.06	-0.04	-0.03	-1.58	7.21	15.12	
1.07	0.05	-9.73	-0.04	-0.08	-0.12	-1.63	7.25	15.30	
0.41	-0.25	-9.74	-0.03	-0.10	-0.17	-1.67	7.27	15.41	
-0.02	-0.44	-9.75	-0.02	-0.12	-0.20	-1.69	7.29	15.48	
-0.30	-0.57	-9.75	-0.01	-0.13	-0.23	-1.71	7.30	15.53	
0.31	-0.27	-10.00	-0.18	0.12	-0.57	-1.72	7.31	15.56	
0.71	-0.08	-10.16	-0.29	0.28	-0.80	-1.73	7.31	15.58	
0.97	0.04	-10.26	-0.36	0.38	-0.95	-1.73	7.31	15.59	
0.96	0.09	-9.92	-0.42	0.48	-1.13	-1.73	7.32	15.60	
0.95	0.12	-9.70	-0.46	0.54	-1.25	-1.73	7.32	15.61	
0.95	0.14	-9.56	-0.48	0.58	-1.33	-1.74	7.32	15.61	
0.94	0.16	-9.47	-0.50	0.60	-1.38	-1.74	7.32	15.61	
1.28	0.32	-9.42	-0.45	0.63	-1.20	-1.74	7.32	15.61	
1.50	0.43	-9.38	-0.42	0.65	-1.08	-1.74	7.32	15.62	
1.65	0.50	-9.36	-0.40	0.66	-1.01	-1.74	7.32	15.62	
1.74	0.55	-9.35	-0.39	0.67	-0.96	-1.74	7.32	15.62	
1.81	0.63	-9.18	-0.35	0.66	-0.90	-1.74	7.32	15.62	
1.85	0.68	-9.07	-0.33	0.65	-0.87	-1.74	7.32	15.62	
1.88	0.72	-9.00	-0.31	0.64	-0.85	-1.74	7.32	15.62	
1.98	0.84	-9.05	-0.23	0.72	-0.80	-3.04	6.66	15.51	
2.04	0.92	-9.08	-0.18	0.77	-0.78	-3.89	6.22	15.44	
2.08	0.97	-9.10	-0.15	0.80	-0.76	-4.45	5.94	15.39	
2.10	1.01	-9.12	-0.13	0.82	-0.75	-4.80	5.76	15.36	
2.39	0.97	-9.20	-0.02	0.92	-0.72	-5.04	5.64	15.34	
2.58	0.95	-9.25	0.05	0.98	-0.70	-5.19	5.57	15.33	
2.71	0.94	-9.29	0.09	1.02	-0.68	-5.29	5.52	15.32	
2.68	1.02	-9.17	0.23	0.99	-0.49	-5.35	5.48	15.32	
2.66	1.07	-9.08	0.33	0.98	-0.37	-5.39	5.46	15.32	
2.64	1.11	-9.03	0.39	0.97	-0.29	-5.42	5.45	15.31	
2.64	1.13	-9.00	0.43	0.96	-0.23	-5.44	5.44	15.31	
2.52	1.13	-8.85	0.61	0.97	-0.13	-5.45	5.43	15.31	
2.45	1.12	-8.75	0.73	0.98	-0.07	-5.46	5.43	15.31	
2.40	1.12	-8.69	0.81	0.98	-0.03	-5.46	5.43	15.31	
2.37	1.12	-8.65	0.86	0.98	-0.00	-5.47	5.43	15.31	
2.44	0.97	-8.66	1.07	1.08	0.02	-5.47	5.43	15.31	
2.48	0.88	-8.67	1.21	1.14	0.03	-5.47	5.42	15.31	
2.51	0.81	-8.67	1.30	1.18	0.03	-5.47	5.42	15.31	
2.82	0.49	-8.82	1.40	1.20	-0.02	-5.47	5.42	15.31	
3.02	0.28	-8.92	1.46	1.21	-0.06	-5.47	5.42	15.31	
3.15	0.14	-8.98	1.51	1.22	-0.08	-5.47	5.42	15.31	
3.23	0.05	-9.02	1.53	1.23	-0.09	-5.47	5.42	15.31	
3.26	-0.20	-9.07	1.50	1.10	-0.04	-6.28	6.09	11.96	
3.28	-0.36	-9.11	1.47	1.02	-0.01	-6.81	6.52	9.79	
3.29	-0.46	-9.13	1.46	0.97	0.01	-7.15	6.80	8.37	
3.30	-0.53	-9.14	1.45	0.94	0.02	-7.37	6.98	7.45	
3.36	-0.54	-9.16	1.35	0.87	0.11	-7.51	7.10	6.86	
3.40	-0.54	-9.17	1.28	0.83	0.17	-7.61	7.18	6.47	
3.42	-0.55	-9.18	1.24	0.81	0.21	-7.67	7.23	6.21	
3.61	-0.45	-9.02	1.14	0.79	0.15	-7.71	7.26	6.05	
3.74	-0.39	-8.92	1.07	0.78	0.11	-7.73	7.28	5.94	
3.82	-0.34	-8.85	1.02	0.77	0.09	-7.75	7.29	5.87	
3.87	-0.32	-8.81	1.00	0.76	0.07	-7.76	7.30	5.83	
4.05	-0.15	-8.66	1.01	0.66	0.06	-7.77	7.31	5.80	
4.17	-0.05	-8.56	1.03	0.60	0.05	-7.77	7.31	5.78	
4.25	0.02	-8.50	1.03	0.56	0.04	-7.78	7.32	5.77	
4.30	0.06	-8.46	1.04	0.53	0.04	-7.78	7.32	5.76	
4.30	0.03	-8.42	1.16	0.39	0.12	-7.78	7.32	5.76	
4.29	0.00	-8.40	1.23	0.29	0.18	-7.78	7.32	5.75	
4.29	-0.01	-8.38	1.28	0.23	0.21	-7.78	7.32	5.75	
4.29	-0.24	-8.45	1.42	0.20	0.22	-7.78	7.32	5.75	
4.29	-0.39	-8.50	1.51	0.18	0.23	-7.78	7.32	5.75	
4.29	-0.49	-8.53	1.57	0.17	0.23	-7.78	7.32	5.75	
4.29	-0.55	-8.55	1.61	0.16	0.24	-7.78	7.32	5.75	
4.39	-0.87	-8.78	1.68	0.17	0.23	-8.40	8.38	3.59	
4.46	-1.07	-8.93	1.72	0.17	0.23	-8.81	9.07	2.18	
4.50	-1.20	-9.02	1.75	0.17	0.22	-9.07	9.52	1.27	
4.53	-1.29	-9.09	1.77	0.17	0.22	-9.24	9.81	0.68	
4.56	-1.50	-9.11	1.74	0.11	0.23	-9.35	10.00	0.29	
4.58	-1.64	-9.13	1.72	0.07	0.23	-9.43	10.13	0.04	
4.59	-1.73	-9.14	1.71	0.04	0.24	-9.47	10.21	-0.12	
4.65	-1.67	-8.89	1.61	-0.05	0.15	-9.50	10.26	-0.23	
4.69	-1.62	-8.72	1.55	-0.12	0.09	-9.52	10.29	-0.30	
4.72	-1.60	-8.61	1.51	-0.16	0.05	-9.54	10.31	-0.34	
4.73	-1.58	-8.54	1.48	-0.18	0.03	-9.54	10.33	-0.37	
4.67	-1.74	-8.37	1.48	-0.28	-0.00	-9.55	10.34	-0.39	
4.63	-1.84	-8.26	1.47	-0.34	-0.02	-9.55	10.34	-0.40	
4.60	-1.91	-8.19	1.47	-0.39	-0.03	-9.56	10.35	-0.41	
4.59	-1.96	-8.15	1.47	-0.41	-0.04	-9.56	10.35	-0.41	
4.43	-2.27	-8.14	1.52	-0.51	-0.03	-9.56	10.35	-0.42	
4.34	-2.47	-8.13	1.55	-0.58	-0.02	-9.56	10.35	-0.42	
4.27	-2.61	-8.13	1.57	-0.62	-0.01	-9.56	10.35	-0.42	
4.27	-2.91	-8.25	1.61	-0.69	-0.06	-9.56	10.35	-0.42	
4.26	-3.10	-8.33	1.64	-0.74	-0.09	-9.56	10.35	-0.42	
4.26	-3.23	-8.39	1.66	-0.77	-0.11	-9.56	10.35	-0.42	
4.26	-3.31	-8.42	1.67	-0.80	-0.12	-9.56	10.35	-0.42	
4.13	-3.59	-8.48	1.72	-0.91	-0.10	-9.56	10.36	-0.42	
4.05	-3.77	-8.52	1.76	-0.98	-0.09	-9.56	10.36	-0.42	
4.00	-3.89	-8.55	1.78	-1.03	-0.08	-9.56	10.36	-0.42	
3.99	-4.48	-8.85	1.80	-1.09	-0.04	-9.75	12.08	-0.96	
3.99	-4.87	-9.05	1.82	-1.13	-0.02	-9.87	13.20	-1.31	
3.98	-5.12	-9.18	1.83	-1.16	0.00	-9.95	13.93	-1.54	
3.98	-5.28	-9.26	1.83	-1.17	0.01	-10.00	14.41	-1.69	
3.61	-5.61	-9.27	1.74	-1.29	0.26	-10.03	14.71	-1.79	
3.37	-5.83	-9.27	1.69	-1.37	0.42	-10.05	14.92	-1.85	
3.21	-5.97	-9.27	1.65	-1.42	0.52	-10.07	15.05	-1.89	
3.11	-6.06	-9.27	1.62	-1.45	0.59	-10.08	15.13	-1.92	
2.66	-6.24	-9.10	1.45	-1.49	0.75	-10.08	15.18	-1.93	
2.36	-6.36	-8.98	1.34	-1.52	0.86	-10.09	15.22	-1.94	
2.17	-6.43	-8.91	1.27	-1.54	0.92	-10.09	15.24	-1.95	
1.91	-6.36	-8.70	1.08	-1.50	1.04	-10.09	15.26	-1.96	
1.75	-6.30	-8.57	0.95	-1.47	1.12	-10.09	15.27	-1.96	
1.64	-6.27	-8.48	0.87	-1.45	1.17	-10.09	15.28	-1.96	
1.57	-6.25	-8.43	0.81	-1.44	1.20	-10.09	15.28	-1.96	
1.41	-5.97	-7.93	0.69	-1.38	1.28	-10.09	15.28	-1.96	
1.31	-5.78	-7.61	0.61	-1.34	1.32	-10.09	15.28	-1.96	
1.24	-5.66	-7.41	0.55	-1.32	1.35	-10.09	15.28	-1.96	
1.25	-5.79	-7.81	0.47	-1.31	1.48	-10.09	15.29	-1.97	
1.26	-5.87	-8.08	0.41	-1.31	1.57	-10.09	15.29	-1.97	
1.26	-5.93	-8.25	0.37	-1.31	1.62	-10.09	15.29	-1.97	
1.27	-5.96	-8.36	0.35	-1.31	1.65	-10.09	15.29	-1.97	
1.20	-5.87	-8.45	0.21	-1.33	1.72	-7.54	16.57	-1.21	
1.16	-5.80	-8.51	0.12	-1.34	1.76	-5.88	17.40	-0.72	
1.14	-5.76	-8.54	0.06	-1.35	1.79	-4.81	17.95	-0.40	
0.95	-5.64	-8.66	-0.09	-1.34	1.76	-4.11	18.30	-0.19	
0.82	-5.56	-8.74	-0.19	-1.34	1.73	-3.65	18.53	-0.06	
0.74	-5.51	-8.79	-0.25	-1.34	1.72	-3.35	18.68	0.03	
0.69	-5.48	-8.82	-0.29	-1.34	1.71	-3.16	18.77	0.09	
0.39	-5.37	-8.75	-0.52	-1.25	1.67	-3.04	18.84	0.12	
0.19	-5.29	-8.71	-0.66	-1.19	1.65	-2.96	18.88	0.15	
0.06	-5.24	-8.68	-0.76	-1.16	1.63	-2.90	18.90	0.16	
-0.02	-5.21	-8.66	-0.82	-1.13	1.62	-2.87	18.92	0.17	
-0.23	-4.71	-8.27	-1.02	-0.92	1.42	-2.85	18.93	0.18	
-0.36	-4.38	-8.01	-1.16	-0.78	1.29	-2.83	18.94	0.19	
-0.44	-4.17	-7.85	-1.24	-0.68	1.21	-2.82	18.95	0.19	
-0.43	-4.13	-8.03	-1.28	-0.45	0.95	-2.82	18.95	0.19	
-0.43	-4.10	-8.16	-1.31	-0.30	0.78	-2.81	18.95	0.19	
-0.42	-4.08	-8.24	-1.33	-0.20	0.67	-2.81	18.95	0.19	
-0.42	-4.07	-8.29	-1.34	-0.14	0.60	-2.81	18.95	0.19	
-0.41	-4.02	-8.42	-1.32	-0.04	0.48	-2.81	18.95	0.19	
-0.41	-4.00	-8.51	-1.31	0.02	0.39	-2.81	18.95	0.19	
-0.41	-3.98	-8.57	-1.31	0.05	0.34	-2.81	18.95	0.19	
-0.41	-3.97	-8.61	-1.30	0.08	0.30	-2.81	18.95	0.19	
-0.55	-3.90	-8.55	-1.32	0.15	0.23	-0.63	18.11	3.32	
-0.64	-3.85	-8.51	-1.33	0.20	0.18	0.79	17.57	5.36	
-0.70	-3.82	-8.49	-1.33	0.23	0.14	1.71	17.21	6.68	
-0.75	-3.71	-8.45	-1.39	0.36	0.08	2.31	16.98	7.54	
-0.78	-3.63	-8.43	-1.43	0.44	0.04	2.70	16.83	8.10	
-0.80	-3.59	-8.41	-1.45	0.50	0.01	2.95	16.73	8.46	
-0.81	-3.55	-8.40	-1.47	0.53	-0.00	3.11	16.67	8.70	
-0.55	-3.34	-8.40	-1.56	0.69	-0.05	3.22	16.63	8.85	
